"feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14"
"-0.1867906,-0.07232759,1.7117993,0.49632666,0.4441617,1.0031992,1.1619931,0.5167929,1.0879885,0.7847648,1.100292,0.031853106,0.46892992,0.7146761"
"-0.43051654,-0.0006056172,1.1595622,0.4379864,0.5192692,0.941822,0.6660068,0.1395578,0.29117212,0.3433417,0.7085747,0.5866411,0.65304244,0.9199339"
"-0.18277588,0.21046156,1.656037,0.5391536,1.120157,0.4188228,0.7579765,0.13042717,1.2066935,0.25630438,0.43845314,1.2333517,0.8216305,1.3700472"
"0.25066364,0.1740537,1.7159387,0.07557787,0.46314773,0.82711023,0.69084436,0.34530896,1.3566457,0.5475047,0.63711786,-0.15051873,0.32998952,0.82667804"
"0.099858515,-0.2780091,1.2850332,0.3840795,0.5719765,0.88326395,0.31943202,0.16277206,0.9847552,0.8332818,1.4158484,0.81265354,0.71117026,0.7933363"
"-0.061142106,-0.38292256,2.0600705,0.33432192,0.2916054,0.9077915,0.8354608,1.1323303,0.92355543,0.6323289,1.1381774,0.5954299,0.87890077,0.7260154"
"0.0129353665,-0.41207695,1.9180743,0.2500353,0.61779916,1.6030538,0.98989904,1.07831,0.60840046,0.76083827,1.2181532,1.1042356,0.850318,1.269184"
"-0.38818762,-0.39834544,2.0100806,0.97580737,0.19847783,1.3631674,1.1658043,0.77860427,0.94421273,0.48075858,1.435895,1.2127018,0.69251823,1.0812169"
"0.053849667,0.19632569,1.6333567,0.09759068,0.5262549,1.2011615,1.2516799,-0.1001121,1.0008997,1.1791844,1.0121895,0.71482766,0.59733576,1.5806949"
"0.23132348,0.18542555,1.0982907,0.29043728,0.2982466,0.50071144,0.2856201,-0.088802464,1.2096182,0.48281983,0.73511505,0.06644527,0.121099055,0.6663091"
"-0.08734651,0.08907893,1.3378305,0.6661587,0.19898152,1.1968505,0.78763264,-0.007998247,1.1442783,0.043905683,0.9287072,0.49272078,0.8709716,1.6095349"
"-0.21650547,0.4092506,1.1266588,0.07495199,0.65279025,0.9795299,0.13993499,-0.3034524,1.1942775,0.9617873,-0.0023647957,0.58030087,0.29892275,1.3912445"
"-0.21691296,0.1981741,1.1651881,0.49310955,0.18065608,0.8838045,0.47026572,-0.112589985,1.2372898,0.57843846,0.26233447,0.2064355,0.6969145,1.1030043"
"-0.014818954,0.03285007,1.5521568,0.3149994,0.06881717,1.052686,0.64657897,0.35731018,0.89167815,0.4895817,0.62476873,0.61370325,0.33882594,1.0615318"
"-0.23953497,-0.2148908,1.1614761,0.42177653,0.20739204,0.49714565,0.54610866,0.43075147,0.7675138,0.17102098,0.89437366,0.13598098,0.51793206,0.8181177"
"-0.2326495,0.094183765,1.1500821,0.19433768,0.2702182,0.9575841,0.7978555,0.14784856,1.0328804,0.9312256,0.64163417,0.60077655,0.7064299,1.4981899"
"-0.12293932,-0.01540658,1.994874,0.16302347,0.17069009,1.6574167,1.3828958,0.5248112,0.9447004,1.0375224,1.3502035,0.6283698,0.60426414,1.396621"
"0.07294876,0.121216,0.8045208,0.14825791,0.17100284,0.66185254,0.4488562,0.13592042,0.5910127,0.3790856,0.8762185,0.4174064,0.37434584,0.7233458"
"-0.44391137,0.1683435,1.4499217,0.21883768,0.7338695,1.1969507,0.4253592,0.42672843,1.0517367,0.5474476,0.84938604,0.61636394,0.7090518,1.3946656"
"0.19166362,-0.1665679,2.7422757,0.28229138,0.92471224,1.7888533,0.7822372,1.1278652,1.5929153,1.4425179,1.639443,0.78257513,0.5400287,0.86148125"
"-0.9459311,0.47734305,1.1758666,0.80960387,0.18627968,1.3823981,0.6835079,-0.05064276,1.0554974,0.44076008,1.0877906,0.59257185,0.36187884,1.8781983"
"-0.17770556,0.04992856,1.5767305,0.5488153,0.9294875,0.7930691,0.49538013,0.1343587,0.53772444,0.43956265,0.17363939,0.6401329,0.49615934,1.0678604"
"-0.2114345,0.31507453,1.3995953,0.023113394,-0.00864807,1.3013277,0.55441487,0.41332838,0.7598328,0.6645071,0.5861097,0.28271523,0.099798344,1.095089"
"0.10754384,0.3053809,1.124492,0.18429539,0.67872137,0.76302665,0.53477633,-0.25488868,1.2707471,0.33942407,0.8740137,0.6894882,0.47369274,1.3524014"
"-0.12916763,0.38345787,1.4127148,0.23714074,1.0501992,0.8296333,0.7051641,-0.041074123,1.3393635,0.64350003,0.009655812,0.39320922,0.4081955,1.7880055"
"-0.19459249,0.20638281,0.73536545,-0.07190932,0.33345142,0.59056675,0.14180669,-0.10675918,0.74275273,0.57286793,0.14259404,0.3031776,0.59627736,1.0339442"
"-0.40968338,0.23565865,1.3423496,0.32295266,0.6073015,0.7264189,0.30120882,0.038843095,0.26760155,0.33570126,0.23481438,0.9578369,0.7967039,1.1274927"
"-0.14040247,0.08794574,1.378391,0.40814614,0.053764466,0.8750507,1.006666,0.31656143,1.0883633,0.1184412,0.49460608,0.17490624,0.36635628,0.8521656"
"0.21687357,0.13548958,1.4954071,0.49109936,0.43755886,0.825192,0.3924259,0.13334198,1.338466,0.5502402,0.32813376,0.19902843,-0.024542794,0.9438398"
"0.3612029,0.28316158,1.2603873,0.43645456,-0.010901425,0.76942223,0.7275729,0.09035471,0.79564744,0.5705935,0.833661,0.57928276,0.23427951,0.91819704"
"-0.49780256,0.19222522,0.9333537,0.4745454,0.04346745,1.5614835,0.827185,0.37639463,1.1551193,0.7718356,0.95539963,0.7033152,1.1913894,1.3235202"
"-0.5303602,-0.5750503,1.564062,0.8027101,0.74263006,0.80894023,1.1093045,-0.20192559,0.91710204,0.59687895,1.6929058,1.2073132,0.71355945,1.2994087"
"-0.04914942,-0.37669513,1.872926,0.32044592,0.35299736,1.6578999,0.92109007,0.86757016,1.128093,0.6366457,1.1683631,0.25975728,0.5806245,0.7414208"
"-0.13025485,0.19380027,0.7078843,0.7821581,0.4714176,1.050581,0.8867921,-0.5159786,0.8030843,0.42171812,0.7805103,0.7622078,0.48582682,1.2050016"
